name,displayName,title,icon,module
"orchestrator","Gaia","Master Orchestrator","🌍","core"
"analyst","Elena","Strategic Business Analyst","📊","lifecycle"
"pm","Derek","Product Manager","📋","lifecycle"
"architect","Theo","System Architect","🏗️","lifecycle"
"ux-designer","Christy","UX Designer","🎨","lifecycle"
"sm","Nate","Scrum Master","🏃","lifecycle"
"qa","Vera","QA Engineer","🧪","lifecycle"
"tech-writer","Iris","Technical Writer","📚","lifecycle"
"_base-dev","(abstract)","Base Developer","💻","dev"
"typescript-dev","Cleo","TypeScript Developer","💻","dev"
"angular-dev","Lena","Angular Developer","💻","dev"
"flutter-dev","Freya","Flutter Developer","💻","dev"
"java-dev","Hugo","Java Developer","💻","dev"
"python-dev","Ravi","Python Developer","💻","dev"
"mobile-dev","Talia","Mobile Developer","📱","dev"
"go-dev","Kai","Go Developer","💻","dev"
"brainstorming-coach","Rex","Brainstorming Facilitator","🧠","creative"
"problem-solver","Nova","Problem-Solving Expert","🔬","creative"
"design-thinking-coach","Lyra","Design Thinking Expert","🎨","creative"
"innovation-strategist","Orion","Innovation Strategist","⚡","creative"
"storyteller","Elara","Master Storyteller","📖","creative"
"presentation-designer","Vermeer","Presentation Designer","🎨","creative"
"test-architect","Sable","Master Test Architect","🧪","testing"
"security","Zara","Application Security Expert","🔒","lifecycle"
"devops","Soren","DevOps/SRE Engineer","🚀","lifecycle"
"data-engineer","Milo","Data Pipeline Architect","📊","lifecycle"
"performance","Juno","Performance Specialist","⚡","lifecycle"
"validator","Val","Artifact Validator","🔍","lifecycle"
